weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,date,city,latitude,longitude
2.0,29.6385,13.9385,21.084333,29.13515,13.106522,20.48623,42455.69,39546.87,0.0,0.0,0.0,11.304229,25.199999,30.465528,21.47,4.645373,2024-12-02,Bamenda,5.9527,10.1582
2.0,30.1885,14.1385,21.192667,30.630955,13.281052,20.62035,42448.293,39273.52,0.0,0.0,0.0,10.390226,24.119999,17.402834,22.62,4.84302,2024-12-03,Bamenda,5.9527,10.1582
2.0,30.2885,13.788501,21.542665,29.500374,12.194843,20.709454,42441.26,39571.266,0.0,0.0,0.0,14.404499,32.399998,93.32748,23.43,5.135503,2024-12-04,Bamenda,5.9527,10.1582
0.0,29.4085,17.1085,22.423086,27.211248,14.1868515,20.056917,41595.195,38165.8,0.0,0.0,0.0,17.072504,33.48,10.121743,22.3,5.8008785,2024-11-28,Maroua,10.591,14.3159
2.0,30.008501,18.1085,23.09392,27.822086,14.865213,20.4606,41579.242,38134.67,0.0,0.0,0.0,15.778518,30.960001,10.654662,22.11,6.0444317,2024-11-29,Maroua,10.591,14.3159
3.0,29.5585,17.008501,22.508501,27.05235,14.212683,19.821249,41563.863,36937.637,0.0,0.0,0.0,16.071491,31.68,8.4237175,22.06,5.8492327,2024-11-30,Maroua,10.591,14.3159
3.0,29.8585,15.8585005,22.052248,27.462828,13.176332,19.470675,41549.082,38865.883,0.0,0.0,0.0,14.408997,27.72,6.2462263,22.35,5.7130475,2024-12-01,Maroua,10.591,14.3159
1.0,31.0585,15.7585,22.625168,29.223038,13.38937,20.365454,41534.914,38894.086,0.0,0.0,0.0,13.779114,27.72,10.838094,22.45,5.647891,2024-12-02,Maroua,10.591,14.3159
2.0,32.3085,17.7085,24.068918,30.266235,15.128939,21.59021,41521.383,38878.23,0.0,0.0,0.0,15.03835,29.519999,8.986649,22.09,6.1054597,2024-12-03,Maroua,10.591,14.3159
3.0,32.2085,18.4085,24.681417,29.23019,15.72846,21.790682,41508.504,38194.43,0.0,0.0,0.0,17.81909,33.839996,2.7073004,21.68,6.372285,2024-12-04,Maroua,10.591,14.3159
1.0,29.067501,14.467501,21.04875,28.732178,13.766096,20.057436,42224.96,38955.992,0.0,0.0,0.0,16.199999,30.960001,36.2201,23.5,5.315262,2024-11-28,Ngaoundéré,7.3167,13.5833
1.0,29.2175,14.5675,21.252916,28.632156,13.839863,20.262701,42214.11,39333.094,0.0,0.0,0.0,17.377226,33.48,36.04306,23.49,5.2794003,2024-11-29,Ngaoundéré,7.3167,13.5833
3.0,29.9175,14.0675,21.013334,29.560734,13.107029,19.820225,42203.65,39005.523,0.0,0.0,0.0,15.978484,30.599998,31.388657,23.73,5.4058084,2024-11-30,Ngaoundéré,7.3167,13.5833
3.0,30.6175,13.217501,21.065414,30.24902,11.96603,19.699663,42193.594,38913.168,0.0,0.0,0.0,14.003028,26.64,30.560783,22.59,5.220515,2024-12-01,Ngaoundéré,7.3167,13.5833
3.0,30.0175,13.6675005,20.87375,29.183628,12.488379,19.390104,42183.96,39573.113,0.0,0.0,0.0,15.277749,28.44,25.38283,23.25,5.311543,2024-12-02,Ngaoundéré,7.3167,13.5833
2.0,30.7175,14.217501,21.36125,29.362938,13.119476,19.599485,42174.76,39561.688,0.0,0.0,0.0,18.39878,34.2,31.670252,23.39,5.6373105,2024-12-03,Ngaoundéré,7.3167,13.5833
2.0,31.2175,13.7675,21.673752,29.462605,12.611187,19.822943,42166.004,39550.785,0.0,0.0,0.0,19.61587,37.44,33.21072,23.58,5.85007,2024-12-04,Ngaoundéré,7.3167,13.5833
80.0,23.872,20.272,22.251167,27.255547,22.380049,25.189379,42846.414,39573.348,1.8000001,0.0,4.0,10.691453,45.719997,125.17236,14.1,2.5314636,2024-11-28,Buea,4.1527,9.241
95.0,23.822,21.022,22.484499,27.904999,22.68343,25.598547,42840.582,31247.43,3.4,0.0,5.0,10.195057,50.039997,116.27042,12.16,2.269491,2024-11-29,Buea,4.1527,9.241
3.0,24.872,21.372,22.953249,28.793812,23.310911,25.770456,42834.957,39451.258,0.2,0.0,2.0,11.304229,50.76,116.76054,15.24,2.8802912,2024-11-30,Buea,4.1527,9.241
80.0,24.272,21.122,22.555334,28.110313,23.235441,25.343138,42829.55,39469.41,0.6,0.0,6.0,9.339208,42.48,259.91946,15.19,2.813885,2024-12-01,Buea,4.1527,9.241
80.0,23.922,20.822,22.478249,27.69719,23.582619,25.413485,42824.375,39958.094,0.9,0.0,6.0,8.891343,34.92,250.01671,15.03,2.754334,2024-12-02,Buea,4.1527,9.241
80.0,24.522,21.222,22.844917,28.36372,22.797617,25.54094,42819.43,39692.977,0.9000001,0.0,6.0,8.473393,39.239998,308.65997,16.27,3.0185547,2024-12-03,Buea,4.1527,9.241
3.0,24.772,20.622,22.6595,28.510109,22.655098,25.69359,42814.73,39710.164,0.0,0.0,0.0,7.628263,37.079998,130.60123,16.79,3.1546693,2024-12-04,Buea,4.1527,9.241
45.0,30.699,18.999,24.786499,33.60948,21.890154,28.313416,43084.17,36134.508,0.0,0.0,0.0,8.287822,33.12,45.97088,19.09,3.994559,2024-11-28,Ebolowa,2.9,11.15
80.0,29.499,21.098999,24.782335,33.773014,25.127134,28.999336,43080.254,31247.748,0.9,0.0,3.0,6.6087217,30.599998,29.898855,16.71,3.465623,2024-11-29,Ebolowa,2.9,11.15
45.0,30.749,19.899,24.838583,34.142113,23.417774,28.652372,43076.477,38525.29,0.3,0.0,3.0,7.9036193,18.359999,11.813145,18.33,3.850987,2024-11-30,Ebolowa,2.9,11.15
45.0,30.149,21.549,25.069832,34.11658,25.747952,29.095396,43072.848,39224.723,0.3,0.0,3.0,7.208994,23.4,339.3045,18.43,3.8164272,2024-12-01,Ebolowa,2.9,11.15
45.0,29.899,21.598999,24.838583,34.053402,25.88918,28.84545,43069.367,38517.33,0.3,0.0,3.0,8.28,20.16,301.7391,18.22,3.7345316,2024-12-02,Ebolowa,2.9,11.15
45.0,31.549,21.299,25.382332,34.46928,25.489935,29.027254,43066.05,38482.83,0.0,0.0,0.0,7.928178,16.199999,325.23096,18.75,4.0157557,2024-12-03,Ebolowa,2.9,11.15
3.0,31.749,21.799,25.5615,35.933804,25.837755,29.447784,43062.895,37953.758,0.0,0.0,0.0,11.966953,23.039999,271.5621,20.49,4.343831,2024-12-04,Ebolowa,2.9,11.15
0.0,32.8085,15.4585,24.306414,31.110085,14.317478,22.930994,41862.94,38502.35,0.0,0.0,0.0,14.118243,28.8,83.358574,22.33,5.5214496,2024-11-28,Garoua,9.3,13.4
2.0,33.5085,17.6085,25.554335,31.821022,16.845547,24.2797,41849.16,38347.348,0.0,0.0,0.0,14.372974,29.16,83.18662,22.24,5.4620643,2024-11-29,Garoua,9.3,13.4
3.0,33.4585,16.0585,24.835585,31.577515,14.879265,23.230936,41835.87,38203.445,0.0,0.0,0.0,14.345898,29.88,85.12409,22.4,5.6247916,2024-11-30,Garoua,9.3,13.4
3.0,33.4585,14.908501,24.281418,31.711617,13.323214,22.683912,41823.11,39096.156,0.0,0.0,0.0,14.408997,28.08,87.28136,22.49,5.3422637,2024-12-01,Garoua,9.3,13.4
1.0,33.9585,13.4585,24.371,32.651657,12.321325,23.158638,41810.867,38876.004,0.0,0.0,0.0,10.587917,22.319998,80.50158,22.36,5.031261,2024-12-02,Garoua,9.3,13.4
2.0,35.0585,13.6085005,25.177252,33.370773,12.81118,23.947214,41799.18,38547.28,0.0,0.0,0.0,11.298495,21.599998,83.80622,22.06,5.289134,2024-12-03,Garoua,9.3,13.4
3.0,35.858498,15.2585,26.321,34.265854,14.368923,24.88962,41788.06,38899.066,0.0,0.0,0.0,11.885453,23.039999,75.96372,22.07,5.577418,2024-12-04,Garoua,9.3,13.4
2.0,31.539999,19.689999,25.31292,32.402412,21.00714,26.635382,42751.168,39575.17,0.0,0.0,0.0,14.77755,30.599998,74.56307,23.02,5.114946,2024-11-28,Bertoua,4.5833,13.6833
2.0,32.69,19.74,25.981665,33.681957,21.08453,27.071657,42744.566,40157.79,0.0,0.0,0.0,15.192682,31.68,73.0129,23.93,5.458229,2024-11-29,Bertoua,4.5833,13.6833
2.0,33.489998,18.99,26.087915,34.898895,19.837463,27.253756,42738.2,39417.824,0.0,0.0,0.0,10.739833,23.039999,54.9533,23.95,5.2791305,2024-11-30,Bertoua,4.5833,13.6833
2.0,33.69,19.89,26.069166,34.850372,20.28123,26.844484,42732.086,38677.98,0.0,0.0,0.0,9.47012,20.519999,51.3402,22.69,5.1077886,2024-12-01,Bertoua,4.5833,13.6833
3.0,33.89,21.49,26.333754,35.35935,22.105627,27.270582,42726.227,38181.21,0.0,0.0,0.0,6.989936,15.84,12.7655325,23.06,4.9703884,2024-12-02,Bertoua,4.5833,13.6833
3.0,34.34,20.289999,26.706667,35.777397,20.822378,27.310247,42720.633,40124.8,0.0,0.0,0.0,9.422101,20.16,30.911663,23.56,5.2614827,2024-12-03,Bertoua,4.5833,13.6833
3.0,34.489998,19.14,26.669165,35.70991,19.41616,27.271866,42715.312,40117.38,0.0,0.0,0.0,9.511088,21.24,104.87576,23.44,5.2424965,2024-12-04,Bertoua,4.5833,13.6833
