weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,date,city,latitude,longitude,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,uv_index_clear_sky
45.0,26.9495,14.8495,20.276583,26.635998,14.913855,20.151636,42572.215,39896.95,0.0,0.0,0.0,15.256526,32.760002,93.95548,23.89,4.909525,2024-12-03,Bafoussam,10.4179,10.4179,881.0,14.2,2.6,46.0,0.32,26.0,0.0,0.0
3.0,28.7885,15.4385,21.32392,29.535564,14.884953,21.672852,42497.664,39799.88,0.0,0.0,0.0,11.177405,25.919998,111.00328,23.65,4.825026,2024-11-27,Bamenda,10.1582,10.1582,381.0,11.6,2.1,51.0,0.31,131.0,0.0,0.0
3.0,27.8885,13.038501,20.640585,28.243229,12.820374,20.806265,42488.637,38319.285,0.0,0.0,0.0,15.379206,34.2,123.83526,22.71,4.75845,2024-11-28,Bamenda,10.1582,10.1582,314.375,7.491667,1.4250001,71.833336,0.34041667,99.916664,1.9854168,2.2208333
3.0,28.9385,16.5885,22.126001,29.500011,16.448055,22.408976,42479.914,38244.605,0.0,0.0,0.0,13.896187,30.960001,97.253075,22.99,4.815765,2024-11-29,Bamenda,10.1582,10.1582,335.58334,7.0499997,1.4875001,70.625,0.38750002,62.791668,1.7604166,2.21875
3.0,29.8385,15.988501,21.980165,30.483612,15.324726,22.025095,42471.508,39622.797,0.0,0.0,0.0,14.264361,32.039997,113.91627,24.25,5.0911703,2024-11-30,Bamenda,10.1582,10.1582,332.83334,6.429167,1.2624999,74.583336,0.43208334,54.166668,1.9333334,2.1645834
3.0,29.738499,15.6885,21.46975,30.731949,14.463993,21.141016,42463.43,39535.21,0.0,0.0,0.0,12.313893,27.0,89.99934,22.72,4.9241614,2024-12-01,Bamenda,10.1582,10.1582,338.375,5.816667,1.3583332,78.333336,0.40041664,57.25,1.9083333,2.1812499
3.0,29.3885,13.8885,20.7885,29.02621,12.877739,20.127758,42455.69,39546.87,0.0,0.0,0.0,7.491114,18.72,311.1858,20.42,4.3617525,2024-12-02,Bamenda,10.1582,10.1582,422.75,5.0750003,1.3416667,84.75,0.36333334,61.541668,1.9291667,2.1583333
2.0,29.5885,13.788501,20.538502,30.31327,12.754335,19.755442,42448.293,39558.934,0.0,0.0,0.0,12.24,27.0,337.40744,22.82,4.9540534,2024-12-03,Bamenda,10.1582,10.1582,509.0,7.7,1.8,78.0,0.34,77.0,0.0,0.0
1.0,29.0585,16.0085,21.866837,27.582201,13.383017,19.666216,41611.71,38196.06,0.0,0.0,0.0,15.034041,29.88,12.557977,22.92,5.695657,2024-11-27,Maroua,14.3159,14.3159,238.0,3.8,0.7,52.0,0.18,47.0,0.0,0.0
0.0,29.258501,16.9585,22.179337,27.099974,13.825239,19.713312,41595.195,38165.8,0.0,0.0,0.0,17.114204,34.2,9.7369175,22.23,5.7473145,2024-11-28,Maroua,14.3159,14.3159,199.70833,2.2333333,0.51666665,58.291668,0.21,161.75,1.9604167,1.9666667
3.0,30.1085,18.0585,23.114752,28.122715,15.008957,20.564894,41579.242,36754.926,0.0,0.0,0.0,15.827721,31.68,9.841091,22.14,6.019647,2024-11-29,Maroua,14.3159,14.3159,209.58333,2.3416667,0.54583335,60.375,0.28875,141.41667,1.84375,1.84375
3.0,30.3085,17.3085,22.85225,27.740278,14.440598,20.05049,41563.863,38378.62,0.0,0.0,0.0,16.516901,32.760002,7.685183,22.86,6.1421223,2024-11-30,Maroua,14.3159,14.3159,205.83333,2.325,0.7708333,65.083336,0.27875,106.333336,1.8770833,1.8770833
2.0,30.008501,15.8585005,21.935585,27.344799,13.279789,19.292501,41549.082,38910.65,0.0,0.0,0.0,16.09969,30.960001,4.650107,22.47,5.752554,2024-12-01,Maroua,14.3159,14.3159,203.875,2.2541666,0.7,66.708336,0.21916665,94.458336,1.9125,1.9208335
1.0,31.008501,16.508501,22.639753,28.804096,13.868164,20.115152,41534.914,38873.387,0.0,0.0,0.0,14.458382,28.44,6.02389,22.28,5.8164277,2024-12-02,Maroua,14.3159,14.3159,176.20833,2.1375,0.5833333,64.833336,0.1575,108.458336,1.9812499,2.0
0.0,32.2585,17.9085,24.025164,29.967594,15.258297,21.529203,41521.383,38878.23,0.0,0.0,0.0,13.53236,29.16,10.035192,22.15,6.045802,2024-12-03,Maroua,14.3159,14.3159,209.0,3.3,0.6,52.0,0.18,80.0,0.0,0.0
1.0,28.567501,12.8675,20.08,28.807137,11.821714,19.215145,42236.19,39179.57,0.0,0.0,0.0,13.513193,26.64,34.982784,23.75,5.096023,2024-11-27,Ngaoundéré,13.5833,13.5833,163.0,1.7,0.4,74.0,0.18,74.0,0.0,0.0
