,date,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,city,latitude,longitude,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,uv_index_clear_sky
13,2022-08-17,63.0,28.253,22.453001,24.548834,32.897114,27.138462,28.972694,0,0,44061.35,26091.541,8.8,8.8,0.0,12.0,14.4,36.36,241.1329,15.26,2.9637742,Douala,4.0483,9.7043,24.787499999999998,16.8125,292.0416666666667,2.3604166666666666,0.3333333333333333,61.25,0.7408333333333333,0.0,1.225,1.7666666666666666
14,2022-08-18,61.0,26.453001,22.103,24.188417,29.58501,26.447622,28.221071,0,0,44049.11,23182.29,6.8,6.8,0.0,17.0,14.565548,33.48,228.47218,12.48,2.4906373,Douala,4.0483,9.7043,30.745833333333334,20.566666666666666,301.7916666666667,2.3562499999999997,0.28750000000000003,65.375,0.7091666666666666,1.4583333333333333,0.7458333333333332,1.7354166666666666
15,2022-08-19,53.0,27.853,22.503,24.857168,32.28635,27.136522,29.088812,0,0,44036.773,33200.234,2.8999996,2.8999996,0.0,9.0,15.03835,34.92,231.0265,20.16,3.883064,Douala,4.0483,9.7043,21.370833333333334,13.966666666666667,238.29166666666666,1.4479166666666667,0.19375,61.708333333333336,0.42166666666666663,0.75,1.2291666666666667,2.125
16,2022-08-20,3.0,28.903,22.803,25.580086,33.67241,27.472706,29.889349,0,0,44024.367,38393.633,0.0,0.0,0.0,0.0,11.808878,31.68,238.39255,19.79,3.9885893,Douala,4.0483,9.7043,21.7375,14.320833333333333,239.875,1.6520833333333333,0.21666666666666667,58.583333333333336,0.66375,0.25,1.2520833333333334,1.7874999999999999
17,2022-08-21,65.0,26.353,22.803,24.255083,29.855015,26.498411,27.97909,0,0,44011.883,30010.062,20.100002,20.100002,0.0,20.0,18.864824,41.760002,212.9788,13.39,2.4627826,Douala,4.0483,9.7043,22.65833333333333,15.2875,272.4166666666667,2.004166666666667,0.3,59.291666666666664,0.6629166666666667,0.375,1.3333333333333333,1.7375
18,2022-08-22,61.0,26.303,22.553,24.311335,29.282467,26.349674,28.00582,0,0,43999.348,20132.953,7.7,7.7,0.0,17.0,14.77755,33.839996,210.60634,12.63,2.4687963,Douala,4.0483,9.7043,17.658333333333335,11.683333333333332,273.0416666666667,1.375,0.19583333333333333,67.91666666666667,0.4345833333333333,0.0,0.84375,2.1625
19,2022-08-23,63.0,27.003,22.603,24.100916,31.003067,26.0671,28.289673,0,0,43986.76,17739.06,9.800002,9.800002,0.0,18.0,14.021525,32.039997,259.48743,14.59,2.788632,Douala,4.0483,9.7043,16.433333333333334,10.450000000000001,223.20833333333334,1.2874999999999999,0.13125,55.125,0.32458333333333333,0.0,1.24375,2.19375
20,2022-08-24,51.0,28.203001,22.453001,24.607168,32.605938,26.969685,28.70545,0,0,43974.133,38702.977,1.5000001,1.5000001,0.0,11.0,16.199999,36.719997,242.1181,19.37,3.7034328,Douala,4.0483,9.7043,17.041666666666668,11.299999999999999,248.91666666666666,2.120833333333333,0.1708333333333333,53.166666666666664,0.24833333333333332,0.0,0.8729166666666667,2.35
21,2022-08-25,61.0,25.403,22.353,23.705084,29.522263,26.964783,27.934525,0,0,43961.48,9197.262,12.099999,12.099999,0.0,22.0,12.218805,32.399998,227.63905,9.46,1.9010746,Douala,4.0483,9.7043,20.6125,13.979166666666666,285.8333333333333,1.95625,0.21458333333333335,51.625,0.24625,0.0,1.2416666666666667,2.316666666666667
22,2022-08-26,61.0,26.303,22.453001,23.800917,28.387962,26.075449,27.233027,0,0,43948.805,20082.844,10.3,10.3,0.0,22.0,21.261345,46.8,210.82133,13.59,2.4989395,Douala,4.0483,9.7043,16.983333333333334,11.3375,238.125,1.5854166666666665,0.125,52.583333333333336,0.21583333333333332,0.0,1.05,2.3937500000000003
23,2022-08-27,51.0,27.953001,22.553,24.628004,32.281666,27.420822,29.155289,0,0,43936.117,29695.691,2.4,2.4,0.0,12.0,10.296251,26.28,249.08928,15.78,3.1603055,Douala,4.0483,9.7043,21.691666666666666,13.799999999999999,241.08333333333334,1.5062499999999999,0.17708333333333334,49.458333333333336,0.33416666666666667,0.0,0.7374999999999999,2.3625
