,date,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,city,latitude,longitude
1338,2022-08-30,63.0,25.353,21.953001,23.532166,28.7882,26.40694,27.700434,0,0,43898.062,11591.173,9.8,9.8,0.0,10.0,16.641972,36.36,231.48682,11.0,2.037505,Douala,4.0483,9.7043
1339,2022-08-31,61.0,25.453001,22.203001,23.288416,29.778172,26.188816,27.646326,0,0,43885.297,11777.511,7.1999993,7.1999993,0.0,19.0,12.682018,28.8,245.22476,11.01,2.1200006,Douala,4.0483,9.7043
1340,2022-09-01,53.0,26.803,21.853,23.490501,31.636307,25.716795,27.831976,0,0,43872.434,24722.627,3.2,3.2,0.0,15.0,8.587338,20.880001,48.65238,13.08,2.5611327,Douala,4.0483,9.7043
1341,2022-09-02,55.0,26.153,22.153,23.938417,29.038311,26.463928,27.895144,0,0,43859.484,21878.479,4.5,4.5,0.0,13.0,12.88981,30.960001,203.87527,11.42,2.2936196,Douala,4.0483,9.7043
1342,2022-09-03,65.0,25.653,21.853,23.188414,30.011608,26.092096,27.376228,0,0,43846.465,23277.678,22.200003,22.200003,0.0,20.0,13.684735,30.960001,214.2264,12.78,2.3128476,Douala,4.0483,9.7043
1343,2022-09-04,51.0,27.953001,22.003,25.038416,32.68367,26.268003,29.19963,0,0,43833.38,35801.48,1.3000001,1.3000001,0.0,8.0,14.003028,31.68,224.72409,17.52,3.440114,Douala,4.0483,9.7043
1344,2022-09-05,55.0,27.353,23.053,24.700918,30.827156,27.79594,29.149658,0,0,43820.24,38413.055,6.6999993,6.6999993,0.0,12.0,13.830749,32.039997,240.20348,15.93,3.0418844,Douala,4.0483,9.7043
1345,2022-09-06,51.0,28.703001,22.603,25.269669,34.001907,26.989836,29.579142,0,0,43807.05,39634.57,0.5,0.5,0.0,4.0,17.148247,38.16,243.82039,21.13,4.1307173,Douala,4.0483,9.7043
1346,2022-09-07,51.0,26.553,23.353,24.738417,30.834137,27.828922,28.812567,0,0,43793.824,35510.133,0.90000004,0.90000004,0.0,5.0,21.194187,47.16,254.1441,14.72,2.8626275,Douala,4.0483,9.7043
1347,2022-09-08,55.0,27.153,23.203001,24.653002,31.664581,27.630655,29.063211,0,0,43780.57,9032.025,4.1,4.1,0.0,12.0,12.819235,25.919998,257.65237,8.97,1.9165525,Douala,4.0483,9.7043
1348,2022-09-09,63.0,26.053,22.653,23.986336,30.268291,27.25877,28.498644,0,0,43767.297,18848.25,21.800003,21.800003,0.0,17.0,13.493999,29.88,248.79967,10.93,2.123044,Douala,4.0483,9.7043
1349,2022-09-10,63.0,27.153,22.453001,24.375917,30.395832,26.6142,28.38691,0,0,43754.008,27668.742,4.4999995,4.4999995,0.0,11.0,15.546833,35.28,211.6947,14.17,2.8238122,Douala,4.0483,9.7043
