,date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,uv_index_clear_sky,city,latitude,longitude
947,2022-08-04,19.474999999999998,12.683333333333332,192.45833333333334,1.01875,0.22916666666666666,53.25,0.2816666666666667,0.0,1.8937499999999998,2.347916666666667,Douala,4.0483,9.7043
948,2022-08-05,21.087500000000002,14.275,213.91666666666666,1.1895833333333334,0.21041666666666667,52.458333333333336,0.25916666666666666,0.0,1.5145833333333334,2.3000000000000003,Douala,4.0483,9.7043
949,2022-08-06,14.512500000000001,9.916666666666666,201.5,1.1375,0.21041666666666667,51.875,0.145,0.0,1.24375,2.377083333333333,Douala,4.0483,9.7043
950,2022-08-07,20.895833333333332,14.25,211.58333333333334,1.6916666666666667,0.4708333333333334,49.291666666666664,0.15666666666666668,0.0,0.7312500000000001,2.4562500000000003,Douala,4.0483,9.7043
951,2022-08-08,21.708333333333332,14.958333333333334,231.25,1.8354166666666665,0.5750000000000001,52.583333333333336,0.21291666666666667,0.0,1.33125,2.4270833333333335,Douala,4.0483,9.7043
952,2022-08-09,17.516666666666666,12.049999999999999,211.0,1.6083333333333334,0.4770833333333333,53.791666666666664,0.27875,0.0,1.2166666666666666,2.2375,Douala,4.0483,9.7043
953,2022-08-10,21.037499999999998,14.329166666666666,202.29166666666666,1.9666666666666668,0.4916666666666667,53.375,0.23166666666666666,0.0,0.9812500000000001,2.3354166666666667,Douala,4.0483,9.7043
954,2022-08-11,27.95,18.995833333333334,233.16666666666666,2.341666666666667,0.5666666666666667,53.0,0.15958333333333333,0.0,0.5875,2.5187500000000003,Douala,4.0483,9.7043
955,2022-08-12,28.804166666666664,19.808333333333334,286.0416666666667,2.285416666666667,0.69375,54.791666666666664,0.5216666666666666,0.0,0.5270833333333333,1.9104166666666667,Douala,4.0483,9.7043
956,2022-08-13,26.795833333333334,18.366666666666667,296.375,2.6479166666666667,0.5541666666666667,55.541666666666664,0.37875,0.0,0.7854166666666665,2.316666666666667,Douala,4.0483,9.7043
957,2022-08-14,23.933333333333334,15.575000000000001,239.5,1.5708333333333335,0.325,59.541666666666664,0.4033333333333333,0.0,0.7312500000000001,2.2979166666666666,Douala,4.0483,9.7043
958,2022-08-15,25.0125,16.045833333333334,232.75,1.4583333333333333,0.30624999999999997,65.20833333333333,0.6041666666666666,0.0,0.7583333333333333,1.95,Douala,4.0483,9.7043
959,2022-08-16,19.754166666666666,13.170833333333334,251.79166666666666,2.0208333333333335,0.30416666666666664,57.166666666666664,0.6654166666666667,0.0,1.0770833333333334,1.7750000000000001,Douala,4.0483,9.7043
960,2022-08-17,24.787499999999998,16.8125,292.0416666666667,2.3604166666666666,0.3333333333333333,61.25,0.7408333333333333,0.0,1.225,1.7666666666666666,Douala,4.0483,9.7043
961,2022-08-18,30.745833333333334,20.566666666666666,301.7916666666667,2.3562499999999997,0.28750000000000003,65.375,0.7091666666666666,1.4583333333333333,0.7458333333333332,1.7354166666666666,Douala,4.0483,9.7043
962,2022-08-19,21.370833333333334,13.966666666666667,238.29166666666666,1.4479166666666667,0.19375,61.708333333333336,0.42166666666666663,0.75,1.2291666666666667,2.125,Douala,4.0483,9.7043
963,2022-08-20,21.7375,14.320833333333333,239.875,1.6520833333333333,0.21666666666666667,58.583333333333336,0.66375,0.25,1.2520833333333334,1.7874999999999999,Douala,4.0483,9.7043
964,2022-08-21,22.65833333333333,15.2875,272.4166666666667,2.004166666666667,0.3,59.291666666666664,0.6629166666666667,0.375,1.3333333333333333,1.7375,Douala,4.0483,9.7043
965,2022-08-22,17.658333333333335,11.683333333333332,273.0416666666667,1.375,0.19583333333333333,67.91666666666667,0.4345833333333333,0.0,0.84375,2.1625,Douala,4.0483,9.7043
966,2022-08-23,16.433333333333334,10.450000000000001,223.20833333333334,1.2874999999999999,0.13125,55.125,0.32458333333333333,0.0,1.24375,2.19375,Douala,4.0483,9.7043
967,2022-08-24,17.041666666666668,11.299999999999999,248.91666666666666,2.120833333333333,0.1708333333333333,53.166666666666664,0.24833333333333332,0.0,0.8729166666666667,2.35,Douala,4.0483,9.7043
968,2022-08-25,20.6125,13.979166666666666,285.8333333333333,1.95625,0.21458333333333335,51.625,0.24625,0.0,1.2416666666666667,2.316666666666667,Douala,4.0483,9.7043
969,2022-08-26,16.983333333333334,11.3375,238.125,1.5854166666666665,0.125,52.583333333333336,0.21583333333333332,0.0,1.05,2.3937500000000003,Douala,4.0483,9.7043
970,2022-08-27,21.691666666666666,13.799999999999999,241.08333333333334,1.5062499999999999,0.17708333333333334,49.458333333333336,0.33416666666666667,0.0,0.7374999999999999,2.3625,Douala,4.0483,9.7043
971,2022-08-28,26.325,17.483333333333334,306.6666666666667,2.6145833333333335,0.26875,49.833333333333336,0.46125,0.0,1.4833333333333334,2.1791666666666667,Douala,4.0483,9.7043
972,2022-08-29,22.229166666666668,15.079166666666666,309.2916666666667,2.2624999999999997,0.26458333333333334,55.375,0.3675,0.0,1.2895833333333333,2.2354166666666666,Douala,4.0483,9.7043
973,2022-08-30,15.204166666666666,10.033333333333333,257.8333333333333,1.4979166666666668,0.19791666666666666,50.125,0.25666666666666665,0.0,1.2208333333333334,2.375,Douala,4.0483,9.7043
974,2022-08-31,19.3,12.845833333333333,278.5,2.5124999999999997,0.20625000000000002,45.958333333333336,0.20666666666666667,0.0,1.0354166666666667,2.4791666666666665,Douala,4.0483,9.7043
